% time	cellId	IMSI	RNTI	rsrp	sinr
2.02021	1	1	1	1.72783e-10	364258
2.02121	1	1	1	1.72892e-10	364489
2.02221	1	1	1	1.73002e-10	364720
2.02321	1	1	1	1.73112e-10	364952
2.02421	1	1	1	1.73222e-10	365184
2.02521	1	1	1	1.73332e-10	365416
2.02621	1	1	1	1.73442e-10	365648
2.02721	1	1	1	1.73552e-10	365880
2.02821	1	1	1	1.73662e-10	366112
2.02921	1	1	1	1.73773e-10	366345
2.03021	1	1	1	1.73883e-10	366578
2.03121	1	1	1	1.73994e-10	366811
2.03221	1	1	1	1.74104e-10	367044
2.03321	1	1	1	1.74215e-10	367277
2.03421	1	1	1	1.74326e-10	367510
2.03521	1	1	1	1.74436e-10	367744
2.03621	1	1	1	1.74547e-10	367978
2.03721	1	1	1	1.74658e-10	368212
2.03821	1	1	1	1.74769e-10	368446
2.03921	1	1	1	1.7488e-10	368680
2.04021	1	1	1	1.74992e-10	368915
2.04121	1	1	1	1.75103e-10	369149
2.04221	1	1	1	1.75214e-10	369384
2.04321	1	1	1	1.75326e-10	369619
2.04421	1	1	1	1.75437e-10	369854
2.04521	1	1	1	1.75549e-10	370089
2.04621	1	1	1	1.7566e-10	370325
2.04721	1	1	1	1.75772e-10	370560
2.04821	1	1	1	1.75884e-10	370796
2.04921	1	1	1	1.75996e-10	371032
2.05021	1	1	1	1.76108e-10	371268
2.05121	1	1	1	1.7622e-10	371505
2.05221	1	1	1	1.76332e-10	371741
2.05321	1	1	1	1.76444e-10	371978
2.05421	1	1	1	1.76557e-10	372214
2.05521	1	1	1	1.76669e-10	372451
2.05621	1	1	1	1.76782e-10	372689
2.05721	1	1	1	1.76894e-10	372926
2.05821	1	1	1	1.77007e-10	373163
2.05921	1	1	1	1.7712e-10	373401
2.06021	1	1	1	1.77232e-10	373639
2.06121	1	1	1	1.77345e-10	373877
2.06221	1	1	1	1.77458e-10	374115
2.06321	1	1	1	1.77571e-10	374353
2.06421	1	1	1	1.77684e-10	374592
2.06521	1	1	1	1.77798e-10	374830
2.06621	1	1	1	1.77911e-10	375069
2.06721	1	1	1	1.78024e-10	375308
2.06821	1	1	1	1.78138e-10	375547
2.06921	1	1	1	1.78251e-10	375787
2.07021	1	1	1	1.78365e-10	376026
2.07121	1	1	1	1.78479e-10	376266
2.07221	1	1	1	1.78592e-10	376506
2.07321	1	1	1	1.78706e-10	376746
2.07421	1	1	1	1.7882e-10	376986
2.07521	1	1	1	1.78934e-10	377226
2.07621	1	1	1	1.79048e-10	377467
2.07721	1	1	1	1.79163e-10	377708
2.07821	1	1	1	1.79277e-10	377949
2.07921	1	1	1	1.79391e-10	378190
2.08021	1	1	1	1.79506e-10	378431
2.08121	1	1	1	1.7962e-10	378672
2.08221	1	1	1	1.79735e-10	378914
2.08321	1	1	1	1.79849e-10	379156
2.08421	1	1	1	1.79964e-10	379398
2.08521	1	1	1	1.80079e-10	379640
2.08621	1	1	1	1.80194e-10	379882
2.08721	1	1	1	1.80309e-10	380124
2.08821	1	1	1	1.80424e-10	380367
2.08921	1	1	1	1.80539e-10	380610
2.09021	1	1	1	1.80654e-10	380853
2.09121	1	1	1	1.8077e-10	381096
2.09221	1	1	1	1.80885e-10	381339
2.09321	1	1	1	1.81e-10	381582
2.09421	1	1	1	1.81116e-10	381826
2.09521	1	1	1	1.81232e-10	382070
2.09621	1	1	1	1.81347e-10	382314
2.09721	1	1	1	1.81463e-10	382558
2.09821	1	1	1	1.81579e-10	382802
2.09921	1	1	1	1.81695e-10	383047
2.10021	1	1	1	1.81811e-10	383291
2.10121	1	1	1	1.81927e-10	383536
2.10221	1	1	1	1.82043e-10	383781
2.10321	1	1	1	1.8216e-10	384027
2.10421	1	1	1	1.82276e-10	384272
